x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20,label
0.6394,0.025,0.275,0.2232,0.7365,0.6767,0.8922,0.0869,0.4219,0.0298,0.2186,0.5054,0.0265,0.1988,0.6499,0.5449,0.2204,0.5893,0.8094,0.0065,0.8058,0.6981,0.3403,0.1555,0.9572,0.3366,0.0927,0.0967,0.8475,0.6037,0.8071,0.7297,0.5362,0.9731,0.3785,0.552,0.8294,0.6185,0.8617,0.5774,0.7046,0.0458,0.2279,0.2894,0.0798,0.2328,0.101,0.278,0.6357,0.3648,0.3702,0.2095,0.267,0.9367,0.648,0.6091,0.1711,0.7291,0.1634,0.3795,0.9895,0.64,0.5569,thumbs_up
0.6846,0.8429,0.776,0.229,0.0321,0.3155,0.2677,0.211,0.9429,0.8764,0.3147,0.6554,0.3956,0.9145,0.4589,0.2649,0.2466,0.5614,0.2627,0.5846,0.8978,0.3994,0.2193,0.9975,0.5095,0.0909,0.0471,0.1096,0.6274,0.7921,0.4222,0.0635,0.3816,0.9961,0.5291,0.9711,0.8608,0.0115,0.7207,0.6817,0.537,0.2668,0.641,0.1116,0.4348,0.4537,0.9538,0.8759,0.2634,0.5006,0.1787,0.9126,0.8705,0.2984,0.6389,0.609,0.1528,0.7625,0.5394,0.7786,0.5304,0.0006,0.3242,thumbs_up
0.0195,0.9291,0.8787,0.8317,0.3075,0.0579,0.878,0.9469,0.0857,0.486,0.0692,0.7606,0.7658,0.1284,0.4753,0.5498,0.2651,0.8724,0.4231,0.2118,0.5393,0.7299,0.2012,0.3117,0.9951,0.6499,0.4381,0.5176,0.121,0.2247,0.3381,0.5883,0.2301,0.2202,0.071,0.6311,0.2289,0.9054,0.8596,0.0709,0.238,0.669,0.2142,0.1323,0.9355,0.571,0.4727,0.7846,0.8075,0.1904,0.0969,0.4311,0.4236,0.467,0.7291,0.6734,0.9842,0.0984,0.4026,0.3393,0.8617,0.2487,0.1902,thumbs_up
0.4486,0.4219,0.2785,0.2498,0.9233,0.4431,0.8613,0.5503,0.0506,0.9993,0.836,0.969,0.9264,0.8487,0.1663,0.4856,0.2137,0.401,0.0586,0.379,0.9853,0.2652,0.7841,0.455,0.423,0.9573,0.9954,0.5558,0.7184,0.1548,0.2967,0.9687,0.5792,0.5422,0.748,0.0572,0.5842,0.5029,0.8527,0.1574,0.9608,0.0801,0.1858,0.595,0.6752,0.2352,0.1199,0.8903,0.2462,0.5945,0.6194,0.4192,0.5837,0.5228,0.9347,0.2043,0.7162,0.2387,0.3958,0.6717,0.3,0.3162,0.7519,thumbs_up
0.0725,0.4583,0.9985,0.9961,0.0733,0.2132,0.2652,0.9333,0.8809,0.8793,0.3695,0.1577,0.8337,0.7035,0.6117,0.9872,0.654,0.0078,0.8171,0.2994,0.6634,0.9389,0.1343,0.1154,0.107,0.5532,0.2723,0.6048,0.7176,0.2036,0.6342,0.264,0.4885,0.9053,0.8461,0.0923,0.4236,0.2767,0.0035,0.7711,0.6371,0.262,0.7412,0.5517,0.4277,0.0097,0.0752,0.8831,0.9039,0.5456,0.8346,0.5825,0.1481,0.1274,0.3083,0.899,0.7961,0.8607,0.8989,0.2101,0.2495,0.1028,0.7801,thumbs_up
0.8841,0.4064,0.6207,0.1546,0.9299,0.8646,0.9762,0.8108,0.8814,0.0248,0.7366,0.3322,0.9308,0.8022,0.8641,0.8107,0.2668,0.7874,0.1081,0.8722,0.8586,0.2224,0.8166,0.4603,0.3052,0.7953,0.2276,0.0237,0.1931,0.3283,0.8644,0.9669,0.2791,0.6415,0.3997,0.9811,0.5362,0.9392,0.1153,0.9704,0.1786,0.9625,0.2655,0.1084,0.4346,0.7285,0.3137,0.6062,0.5114,0.3852,0.5766,0.2547,0.7088,0.0017,0.9256,0.5385,0.7194,0.742,0.6706,0.3642,0.07,0.6642,0.3302,thumbs_up
0.3139,0.848,0.7198,0.3003,0.3093,0.4084,0.4024,0.2957,0.1273,0.4204,0.9404,0.6773,0.9028,0.6155,0.3009,0.5479,0.0004,0.2869,0.4299,0.58,0.6547,0.465,0.4422,0.2137,0.4732,0.9012,0.796,0.1697,0.0848,0.5155,0.6329,0.3352,0.8184,0.7511,0.6728,0.2246,0.1991,0.0244,0.2448,0.4751,0.8497,0.0728,0.4144,0.6298,0.1944,0.6964,0.4944,0.244,0.6561,0.0055,0.751,0.77,0.1066,0.4251,0.1759,0.958,0.518,0.0502,0.2492,0.8483,0.4565,0.8014,0.6676,thumbs_up
0.9879,0.5955,0.95,0.8914,0.6127,0.7193,0.5048,0.8306,0.5479,0.8972,0.7437,0.4747,0.2592,0.2472,0.6377,0.7658,0.5213,0.6267,0.2746,0.0775,0.2857,0.2717,0.3197,0.5402,0.1384,0.2313,0.6939,0.7064,0.0642,0.4076,0.5426,0.4158,0.2068,0.4201,0.9048,0.5841,0.6955,0.8567,0.7656,0.3804,0.0059,0.3518,0.7535,0.8534,0.9534,0.419,0.7475,0.5461,0.6033,0.2205,0.2194,0.4358,0.029,0.3361,0.6791,0.4043,0.165,0.4674,0.1276,0.6223,0.027,0.394,0.5644,thumbs_up
0.0271,0.6427,0.1357,0.4617,0.0503,0.3791,0.2117,0.3268,0.7612,0.3791,0.752,0.8319,0.2523,0.0819,0.0194,0.5394,0.9999,0.35,0.6501,0.7812,0.6518,0.7542,0.9496,0.1994,0.0204,0.1524,0.1262,0.6695,0.564,0.218,0.6995,0.7669,0.1678,0.6072,0.7479,0.1145,0.8193,0.9647,0.1081,0.0257,0.312,0.6773,0.9582,0.3967,0.715,0.076,0.6906,0.6272,0.1019,0.7725,0.8503,0.6004,0.1211,0.9838,0.7826,0.3472,0.4284,0.3706,0.506,0.3412,0.8496,0.8223,0.1055,thumbs_up
0.9608,0.6356,0.8287,0.7073,0.4355,0.7338,0.9655,0.2701,0.8082,0.5382,0.4835,0.4356,0.731,0.2684,0.8517,0.8307,0.0867,0.8816,0.2439,0.4647,0.6103,0.379,0.0287,0.851,0.1818,0.2121,0.7978,0.3403,0.8803,0.7012,0.2763,0.0102,0.9481,0.0856,0.7201,0.4886,0.7582,0.6906,0.6459,0.4908,0.7929,0.0931,0.2216,0.6918,0.3062,0.5816,0.4733,0.5309,0.4255,0.7459,0.3308,0.7029,0.2709,0.2514,0.1207,0.1926,0.1196,0.5359,0.7622,0.1851,0.2164,0.4842,0.7246,thumbs_up
